type;coord_x;coord_y;group;enemy_speed
"level";1280;480;2;None
"player";200;350;player;2:1
"platform";-240;459;platform;None
"platform";0;459;platform;None
"platform";240;459;platform;None
"platform";480;459;platform;None
"platform";720;459;platform;None
"platform";960;459;platform;None
"platform";1200;459;platform;None
"platform";1440;459;platform;None
"platform";1680;459;platform;None
"platform";1920;459;platform;None
"platform";2160;459;platform;None
"platform";3730;459;platform;None
"platform";3970;459;platform;None
"platform";4210;459;platform;None
"platform";4450;459;platform;None
"platform";4690;459;platform;None
"platform";740;350;border;None
"platform";1100;280;border;None
"platform";1360;350;border;None
"platform";1620;400;border;None
"platform";2460;350;border;None
"platform";2840;280;border;None
"platform";3180;404;border;None
"platform";3240;230;border;None
"platform";3560;310;border;None
"enemy";1200:1533;414;enemy;3
"enemy";690:943;414;enemy;2
"enemy";1100:1253;235;enemy;3
"enemy";1620:1773;355;enemy;2
"enemy";2840:2993;235;enemy;2
"enemy";3240:3393;185;enemy;2
"bullet";3300;384;bullet;None
"bullet";3360;210;bullet;None
"bullet";860;330;bullet;None
"bullet";1220;330;bullet;None
"bullet";1480;330;bullet;None
"flag";4300;369;None;None
