type;coord_x;coord_y;group;enemy_speed
"level";5380;480;3;None
"player";200;350;player;2:1
"platform";-240;459;platform;None
"platform";0;459;platform;None
"platform";240;459;platform;None
"platform";480;459;platform;None
"platform";720;459;platform;None
"platform";960;459;platform;None
"platform";1200;459;platform;None
"platform";1440;459;platform;None
"platform";1680;459;platform;None
"platform";1920;459;platform;None
"platform";2160;459;platform;None
"platform";2400;459;platform;None
"platform";2640;459;platform;None
"platform";2880;459;platform;None
"platform";3120;459;platform;None
"platform";3700;459;platform;None
"platform";3940;459;platform;None
"platform";4180;459;platform;None
"platform";4420;459;platform;None
"platform";4660;459;platform;None
"platform";4850;438;platform;None
"platform";4900;459;platform;None
"platform";5140;459;platform;None
"platform";740;280;border;None
"platform";1120;364;border;None
"platform";1860;400;border;None
"platform";2240;330;border;None
"platform";2480;330;border;None
"platform";2400;230;border;None
"platform";3410;340;border;None
"platform";3860;280;border;None
"enemy";740:893;235;enemy;2
"enemy";500:833;414;enemy;4
"enemy";920:1240;414;enemy;4
"enemy";2240:2633;285;enemy;2
"enemy";2400:2553;185;enemy;3
"enemy";2100:2650;414;enemy;4
"enemy";3410:3563;295;enemy;4
"enemy";3700:4113;414;enemy;4
"enemy";3860:4013;235;enemy;2
"bullet";860;255;bullet;None
"bullet";1240;339;bullet;None
"bullet";2480;434;bullet;None
"bullet";2580;434;bullet;None
"bullet";2400;305;bullet;None
"bullet";3520;315;bullet;None
"bullet";2520;205;bullet;None
"flag";4940;348;None;None
